,date,visitors_pool_total,sportbad_closed,freizeitbad_closed,kursbecken_closed,school_holiday,bank_holiday,temperature,sunshine_radiation,snow_height,year,month,day
50,2005-05-09,771.0,0.0,1.0,0.0,0.0,0.0,6.4,RS1,S0,2005,5,0
51,2005-05-10,549.0,0.0,1.0,0.0,0.0,0.0,7.4,RS1,S0,2005,5,0
52,2005-05-11,638.0,0.0,1.0,0.0,0.0,0.0,8.1,RS1,S0,2005,5,0
53,2005-05-12,526.0,0.0,1.0,0.0,0.0,0.0,7.8,RS1,S0,2005,5,0
54,2005-05-13,656.0,0.0,1.0,0.0,0.0,0.0,11.1,RS2,S0,2005,5,0
55,2005-05-14,913.0,0.0,0.0,0.0,0.0,0.0,11.6,RS0,S0,2005,5,1
56,2005-05-15,1472.0,1.0,0.0,0.0,0.0,0.0,9.4,RS1,S0,2005,5,2
57,2005-05-16,1702.0,1.0,0.0,0.0,0.0,1.0,9.4,RS0,S0,2005,5,0
58,2005-05-17,600.0,1.0,0.0,0.0,0.0,0.0,8.0,RS1,S0,2005,5,0
59,2005-05-18,714.0,1.0,0.0,0.0,0.0,0.0,8.0,RS2,S0,2005,5,0
60,2005-05-19,600.0,1.0,0.0,0.0,0.0,0.0,12.0,RS3,S0,2005,5,0
61,2005-05-20,685.0,1.0,0.0,0.0,0.0,0.0,15.0,RS1,S0,2005,5,0
62,2005-05-21,1009.0,1.0,0.0,0.0,0.0,0.0,16.5,RS1,S0,2005,5,1
63,2005-05-22,1456.0,1.0,0.0,0.0,0.0,0.0,16.8,RS2,S0,2005,5,2
64,2005-05-23,693.0,1.0,0.0,0.0,0.0,0.0,14.0,RS2,S0,2005,5,0
65,2005-05-24,582.0,1.0,0.0,0.0,0.0,0.0,14.1,RS1,S0,2005,5,0
66,2005-05-25,1462.0,1.0,0.0,0.0,1.0,0.0,17.5,RS2,S0,2005,5,0
67,2005-05-26,1878.0,1.0,0.0,0.0,1.0,1.0,21.8,RS3,S0,2005,5,0
68,2005-05-27,2445.0,1.0,0.0,0.0,1.0,0.0,23.4,RS3,S0,2005,5,0
69,2005-05-28,2621.0,0.0,0.0,0.0,1.0,0.0,24.8,RS3,S0,2005,5,1
70,2005-05-29,2262.0,0.0,0.0,0.0,0.0,0.0,17.9,RS3,S0,2005,5,2
71,2005-05-30,626.0,0.0,0.0,0.0,0.0,0.0,9.9,RS0,S0,2005,5,0
72,2005-05-31,637.0,0.0,0.0,0.0,0.0,0.0,10.1,RS1,S0,2005,5,0
73,2005-06-01,628.0,0.0,0.0,0.0,0.0,0.0,10.7,RS2,S0,2005,6,0
74,2005-06-02,672.0,0.0,0.0,0.0,0.0,0.0,14.0,RS0,S0,2005,6,0
75,2005-06-03,855.0,0.0,0.0,0.0,0.0,0.0,18.7,RS3,S0,2005,6,0
76,2005-06-04,1242.0,0.0,0.0,0.0,0.0,0.0,13.6,RS1,S0,2005,6,1
77,2005-06-05,1916.0,0.0,0.0,0.0,0.0,0.0,12.6,RS0,S0,2005,6,2
78,2005-06-06,1387.0,0.0,0.0,0.0,0.0,0.0,10.7,RS0,S0,2005,6,0
79,2005-06-07,513.0,0.0,0.0,0.0,0.0,0.0,10.5,RS2,S0,2005,6,0
80,2005-06-08,643.0,0.0,0.0,0.0,0.0,0.0,10.9,RS2,S0,2005,6,0
81,2005-06-09,675.0,0.0,0.0,0.0,0.0,0.0,13.0,RS3,S0,2005,6,0
82,2005-06-10,562.0,0.0,0.0,0.0,0.0,0.0,12.8,RS1,S0,2005,6,0
83,2005-06-11,1224.0,0.0,0.0,0.0,0.0,0.0,10.2,RS1,S0,2005,6,1
84,2005-06-12,1705.0,0.0,0.0,0.0,0.0,0.0,10.6,RS1,S0,2005,6,2
85,2005-06-13,724.0,0.0,0.0,0.0,0.0,0.0,11.7,RS2,S0,2005,6,0
86,2005-06-14,601.0,0.0,0.0,0.0,0.0,0.0,15.2,RS3,S0,2005,6,0
87,2005-06-15,857.0,0.0,0.0,0.0,0.0,0.0,18.2,RS3,S0,2005,6,0
88,2005-06-16,729.0,0.0,0.0,0.0,0.0,0.0,19.0,RS2,S0,2005,6,0
89,2005-06-17,731.0,0.0,0.0,0.0,0.0,0.0,18.7,RS0,S0,2005,6,0
90,2005-06-18,1415.0,0.0,0.0,0.0,0.0,0.0,17.4,RS3,S0,2005,6,1
91,2005-06-19,3761.0,0.0,0.0,0.0,0.0,0.0,20.1,RS3,S0,2005,6,2
92,2005-06-20,1827.0,0.0,0.0,0.0,0.0,0.0,24.0,RS3,S0,2005,6,0
93,2005-06-21,983.0,0.0,0.0,0.0,0.0,0.0,22.2,RS2,S0,2005,6,0
94,2005-06-22,880.0,0.0,0.0,0.0,0.0,0.0,18.8,RS3,S0,2005,6,0
95,2005-06-23,1669.0,0.0,0.0,0.0,0.0,0.0,22.0,RS3,S0,2005,6,0
96,2005-06-24,1486.0,0.0,0.0,0.0,0.0,0.0,24.5,RS2,S0,2005,6,0
97,2005-06-25,1529.0,0.0,0.0,0.0,0.0,0.0,19.0,RS1,S0,2005,6,1
98,2005-06-26,2011.0,0.0,0.0,0.0,0.0,0.0,17.0,RS3,S0,2005,6,2
99,2005-06-27,1028.0,0.0,0.0,0.0,0.0,0.0,17.7,RS3,S0,2005,6,0
100,2005-06-28,907.0,0.0,0.0,0.0,0.0,0.0,17.4,RS3,S0,2005,6,0
101,2005-06-29,851.0,0.0,0.0,0.0,0.0,0.0,17.5,RS1,S0,2005,6,0
102,2005-06-30,619.0,0.0,0.0,0.0,0.0,0.0,17.1,RS0,S0,2005,6,0
103,2005-07-01,784.0,0.0,0.0,0.0,0.0,0.0,16.5,RS0,S0,2005,7,0
104,2005-07-02,1050.0,0.0,0.0,0.0,0.0,0.0,18.3,RS1,S0,2005,7,1
105,2005-07-03,1589.0,0.0,0.0,0.0,0.0,0.0,20.4,RS1,S0,2005,7,2
106,2005-07-04,1094.0,0.0,0.0,0.0,0.0,0.0,20.3,RS2,S0,2005,7,0
107,2005-07-05,829.0,0.0,0.0,0.0,0.0,0.0,14.7,RS2,S0,2005,7,0
108,2005-07-06,981.0,0.0,0.0,0.0,0.0,0.0,14.9,RS1,S0,2005,7,0
109,2005-07-07,759.0,0.0,0.0,0.0,2.0,0.0,15.0,RS1,S0,2005,7,0
110,2005-07-08,938.0,0.0,0.0,0.0,2.0,0.0,14.7,RS1,S0,2005,7,0
111,2005-07-09,1155.0,0.0,0.0,0.0,2.0,0.0,15.8,RS0,S0,2005,7,1
112,2005-07-10,2171.0,0.0,0.0,0.0,2.0,0.0,21.5,RS2,S0,2005,7,2
113,2005-07-11,1361.0,0.0,0.0,0.0,2.0,0.0,21.2,RS3,S0,2005,7,0
114,2005-07-12,1619.0,0.0,0.0,0.0,2.0,0.0,22.5,RS3,S0,2005,7,0
115,2005-07-13,1620.0,0.0,0.0,0.0,2.0,0.0,21.7,RS3,S0,2005,7,0
116,2005-07-14,2047.0,0.0,0.0,0.0,3.0,0.0,21.3,RS3,S0,2005,7,0
117,2005-07-15,1689.0,0.0,0.0,0.0,3.0,0.0,22.0,RS2,S0,2005,7,0
118,2005-07-16,1406.0,0.0,0.0,0.0,3.0,0.0,17.9,RS2,S0,2005,7,1
119,2005-07-17,1990.0,0.0,0.0,0.0,3.0,0.0,16.6,RS1,S0,2005,7,2
120,2005-07-18,1897.0,0.0,0.0,0.0,3.0,0.0,20.4,RS3,S0,2005,7,0
121,2005-07-19,1407.0,0.0,0.0,0.0,3.0,0.0,18.3,RS1,S0,2005,7,0
122,2005-07-20,1550.0,0.0,0.0,0.0,3.0,0.0,15.8,RS1,S0,2005,7,0
123,2005-07-21,1724.0,0.0,0.0,0.0,3.0,0.0,14.3,RS0,S0,2005,7,0
124,2005-07-22,1597.0,0.0,0.0,0.0,3.0,0.0,13.2,RS0,S0,2005,7,0
125,2005-07-23,1500.0,0.0,0.0,0.0,3.0,0.0,14.5,RS0,S0,2005,7,1
126,2005-07-24,2088.0,0.0,0.0,0.0,3.0,0.0,17.5,RS2,S0,2005,7,2
127,2005-07-25,1548.0,0.0,0.0,0.0,3.0,0.0,17.6,RS0,S0,2005,7,0
128,2005-07-26,2169.0,0.0,0.0,0.0,3.0,0.0,14.7,RS0,S0,2005,7,0
129,2005-07-27,1948.0,0.0,0.0,0.0,3.0,0.0,17.7,RS0,S0,2005,7,0
130,2005-07-28,2579.0,0.0,0.0,0.0,3.0,0.0,23.4,RS2,S0,2005,7,0
131,2005-07-29,1990.0,0.0,0.0,0.0,3.0,0.0,21.8,RS1,S0,2005,7,0
132,2005-07-30,1612.0,0.0,0.0,0.0,3.0,0.0,18.0,RS1,S0,2005,7,1
133,2005-07-31,2408.0,0.0,0.0,0.0,3.0,0.0,15.3,RS0,S0,2005,7,2
134,2005-08-01,1513.0,0.0,0.0,0.0,3.0,0.0,15.0,RS0,S0,2005,8,0
135,2005-08-02,1877.0,0.0,0.0,0.0,3.0,0.0,14.3,RS1,S0,2005,8,0
136,2005-08-03,1999.0,0.0,0.0,0.0,3.0,0.0,16.4,RS1,S0,2005,8,0
137,2005-08-04,1950.0,0.0,0.0,0.0,3.0,0.0,15.4,RS2,S0,2005,8,0
138,2005-08-05,1785.0,0.0,0.0,0.0,3.0,0.0,14.8,RS0,S0,2005,8,0
139,2005-08-06,1920.0,0.0,0.0,0.0,3.0,0.0,12.3,RS1,S0,2005,8,1
140,2005-08-07,2623.0,0.0,0.0,0.0,3.0,0.0,12.1,RS1,S0,2005,8,2
141,2005-08-08,1888.0,0.0,0.0,0.0,3.0,0.0,13.8,RS0,S0,2005,8,0
142,2005-08-09,2328.0,0.0,0.0,0.0,3.0,0.0,13.3,RS0,S0,2005,8,0
143,2005-08-10,2407.0,0.0,0.0,0.0,3.0,0.0,13.8,RS0,S0,2005,8,0
144,2005-08-11,2455.0,0.0,0.0,0.0,3.0,0.0,14.7,RS0,S0,2005,8,0
145,2005-08-12,2011.0,0.0,0.0,0.0,3.0,0.0,13.8,RS0,S0,2005,8,0
146,2005-08-13,1681.0,0.0,0.0,0.0,3.0,0.0,15.6,RS1,S0,2005,8,1
147,2005-08-14,2780.0,0.0,0.0,0.0,3.0,0.0,15.6,RS0,S0,2005,8,2
148,2005-08-15,1951.0,0.0,0.0,0.0,3.0,0.0,15.8,RS0,S0,2005,8,0
149,2005-08-16,2044.0,0.0,0.0,0.0,3.0,0.0,14.1,RS0,S0,2005,8,0
150,2005-08-17,2293.0,0.0,0.0,0.0,3.0,0.0,16.0,RS3,S0,2005,8,0
151,2005-08-18,2948.0,0.0,0.0,0.0,3.0,0.0,20.1,RS3,S0,2005,8,0
152,2005-08-19,2684.0,0.0,0.0,0.0,3.0,0.0,21.5,RS2,S0,2005,8,0
153,2005-08-20,1721.0,0.0,0.0,0.0,1.0,0.0,17.5,RS3,S0,2005,8,1
154,2005-08-21,2095.0,0.0,0.0,0.0,1.0,0.0,17.1,RS3,S0,2005,8,2
155,2005-08-22,1838.0,0.0,0.0,0.0,1.0,0.0,16.5,RS3,S0,2005,8,0
156,2005-08-23,2445.0,0.0,0.0,0.0,1.0,0.0,17.4,RS3,S0,2005,8,0
157,2005-08-24,2511.0,0.0,0.0,0.0,1.0,0.0,15.3,RS3,S0,2005,8,0
158,2005-08-25,725.0,0.0,0.0,0.0,0.0,0.0,,RS3,S0,2005,8,0
159,2005-08-26,759.0,0.0,0.0,0.0,0.0,0.0,12.5,RS1,S0,2005,8,0
160,2005-08-27,888.0,0.0,0.0,0.0,0.0,0.0,14.6,RS0,S0,2005,8,1
161,2005-08-28,1433.0,0.0,0.0,0.0,0.0,0.0,16.0,RS2,S0,2005,8,2
162,2005-08-29,877.0,0.0,0.0,0.0,0.0,0.0,18.0,RS3,S0,2005,8,0
163,2005-08-30,991.0,0.0,0.0,0.0,0.0,0.0,18.8,RS3,S0,2005,8,0
164,2005-08-31,1618.0,0.0,0.0,0.0,0.0,0.0,21.5,RS3,S0,2005,8,0
165,2005-09-01,1303.0,0.0,0.0,0.0,0.0,0.0,21.4,RS2,S0,2005,9,0
166,2005-09-02,747.0,0.0,0.0,0.0,0.0,0.0,19.4,RS1,S0,2005,9,0
167,2005-09-03,1180.0,0.0,0.0,0.0,0.0,0.0,18.3,RS2,S0,2005,9,1
168,2005-09-04,1933.0,0.0,0.0,0.0,0.0,0.0,17.6,RS3,S0,2005,9,2
169,2005-09-05,985.0,0.0,0.0,0.0,0.0,0.0,19.2,RS3,S0,2005,9,0
170,2005-09-06,1036.0,0.0,0.0,0.0,0.0,0.0,20.3,RS2,S0,2005,9,0
171,2005-09-07,1051.0,0.0,0.0,0.0,0.0,0.0,21.1,RS2,S0,2005,9,0
172,2005-09-08,1155.0,0.0,0.0,0.0,0.0,0.0,21.4,RS2,S0,2005,9,0
173,2005-09-09,850.0,0.0,0.0,0.0,0.0,0.0,20.6,RS2,S0,2005,9,0
174,2005-09-10,1405.0,0.0,0.0,0.0,0.0,0.0,20.5,RS2,S0,2005,9,1
175,2005-09-11,1549.0,0.0,0.0,0.0,0.0,0.0,16.9,RS0,S0,2005,9,2
176,2005-09-12,608.0,0.0,0.0,0.0,0.0,0.0,16.3,RS1,S0,2005,9,0
177,2005-09-13,604.0,0.0,0.0,0.0,0.0,0.0,14.2,RS2,S0,2005,9,0
178,2005-09-14,591.0,0.0,0.0,0.0,0.0,0.0,14.9,RS0,S0,2005,9,0
179,2005-09-15,558.0,0.0,0.0,0.0,0.0,0.0,14.6,RS0,S0,2005,9,0
180,2005-09-16,731.0,0.0,0.0,0.0,0.0,0.0,11.3,RS1,S0,2005,9,0
181,2005-09-17,1260.0,0.0,0.0,0.0,0.0,0.0,9.3,RS2,S0,2005,9,1
182,2005-09-18,1167.0,0.0,0.0,0.0,0.0,0.0,10.0,RS2,S0,2005,9,2
183,2005-09-19,609.0,0.0,0.0,0.0,0.0,0.0,11.1,RS2,S0,2005,9,0
184,2005-09-20,479.0,0.0,0.0,0.0,0.0,0.0,11.9,RS2,S0,2005,9,0
185,2005-09-21,528.0,0.0,0.0,0.0,0.0,0.0,12.9,RS2,S0,2005,9,0
186,2005-09-22,584.0,0.0,0.0,0.0,0.0,0.0,13.7,RS2,S0,2005,9,0
187,2005-09-23,641.0,0.0,0.0,0.0,0.0,0.0,14.9,RS2,S0,2005,9,0
188,2005-09-24,1112.0,0.0,0.0,0.0,0.0,0.0,14.0,RS1,S0,2005,9,1
189,2005-09-25,1508.0,0.0,0.0,0.0,0.0,0.0,15.2,RS1,S0,2005,9,2
190,2005-09-26,672.0,0.0,0.0,0.0,0.0,0.0,14.4,RS0,S0,2005,9,0
191,2005-09-27,482.0,0.0,0.0,0.0,0.0,0.0,15.4,RS0,S0,2005,9,0
192,2005-09-28,535.0,0.0,0.0,0.0,0.0,0.0,12.5,RS3,S0,2005,9,0
193,2005-09-29,523.0,0.0,0.0,0.0,0.0,0.0,11.1,RS1,S0,2005,9,0
194,2005-09-30,584.0,0.0,0.0,0.0,0.0,0.0,11.3,RS0,S0,2005,9,0
195,2005-10-01,1221.0,0.0,0.0,0.0,0.0,0.0,11.9,RS0,S0,2005,10,1
196,2005-10-02,1671.0,0.0,0.0,0.0,0.0,0.0,10.4,RS1,S0,2005,10,2
197,2005-10-03,1690.0,0.0,0.0,0.0,0.0,1.0,9.8,RS1,S0,2005,10,0
198,2005-10-04,589.0,0.0,0.0,0.0,2.0,0.0,11.3,RS0,S0,2005,10,0
199,2005-10-05,850.0,0.0,0.0,0.0,2.0,0.0,13.3,RS1,S0,2005,10,0
200,2005-10-06,615.0,0.0,0.0,0.0,2.0,0.0,12.5,RS1,S0,2005,10,0
201,2005-10-07,674.0,0.0,0.0,0.0,2.0,0.0,12.6,RS2,S0,2005,10,0
202,2005-10-08,752.0,0.0,0.0,0.0,2.0,0.0,13.3,RS1,S0,2005,10,1
203,2005-10-09,1370.0,0.0,0.0,0.0,2.0,0.0,14.2,RS1,S0,2005,10,2
204,2005-10-10,823.0,0.0,0.0,0.0,2.0,0.0,14.3,RS2,S0,2005,10,0
205,2005-10-11,784.0,0.0,0.0,0.0,2.0,0.0,13.2,RS2,S0,2005,10,0
206,2005-10-12,795.0,0.0,0.0,0.0,2.0,0.0,14.0,RS2,S0,2005,10,0
207,2005-10-13,738.0,0.0,0.0,0.0,2.0,0.0,11.9,RS2,S0,2005,10,0
208,2005-10-14,813.0,0.0,0.0,0.0,2.0,0.0,11.0,RS2,S0,2005,10,0
209,2005-10-15,1116.0,0.0,0.0,0.0,2.0,0.0,10.0,RS1,S0,2005,10,1
210,2005-10-16,1582.0,0.0,0.0,0.0,0.0,0.0,9.0,RS2,S0,2005,10,2
211,2005-10-17,959.0,0.0,0.0,0.0,1.0,0.0,8.4,RS2,S0,2005,10,0
212,2005-10-18,925.0,0.0,0.0,0.0,1.0,0.0,8.2,RS2,S0,2005,10,0
213,2005-10-19,1135.0,0.0,0.0,0.0,1.0,0.0,7.7,RS1,S0,2005,10,0
214,2005-10-20,1087.0,0.0,0.0,0.0,1.0,0.0,11.7,RS1,S0,2005,10,0
215,2005-10-21,1014.0,0.0,0.0,0.0,1.0,0.0,11.9,RS0,S0,2005,10,0
216,2005-10-22,1161.0,0.0,0.0,0.0,1.0,0.0,11.9,RS0,S0,2005,10,1
217,2005-10-23,1764.0,0.0,0.0,0.0,1.0,0.0,10.9,RS0,S0,2005,10,2
218,2005-10-24,1495.0,0.0,0.0,0.0,1.0,0.0,11.4,RS0,S0,2005,10,0
219,2005-10-25,1343.0,0.0,0.0,0.0,1.0,0.0,13.5,RS0,S0,2005,10,0
220,2005-10-26,1448.0,0.0,0.0,0.0,1.0,0.0,13.4,RS1,S0,2005,10,0
221,2005-10-27,1200.0,0.0,0.0,0.0,1.0,0.0,14.8,RS1,S0,2005,10,0
222,2005-10-28,1123.0,0.0,0.0,0.0,1.0,0.0,16.3,RS2,S0,2005,10,0
223,2005-10-29,1076.0,0.0,0.0,0.0,1.0,0.0,15.4,RS2,S0,2005,10,1
224,2005-10-30,1344.0,0.0,0.0,0.0,0.0,0.0,15.4,RS2,S0,2005,10,2
225,2005-10-31,929.0,0.0,0.0,0.0,0.0,0.0,15.4,RS2,S0,2005,10,0
226,2005-11-01,1012.0,0.0,0.0,0.0,0.0,1.0,13.2,RS1,S0,2005,11,0
227,2005-11-02,556.0,0.0,0.0,0.0,0.0,0.0,11.0,RS0,S0,2005,11,0
228,2005-11-03,483.0,0.0,0.0,0.0,0.0,0.0,15.5,RS1,S0,2005,11,0
229,2005-11-04,682.0,0.0,0.0,0.0,0.0,0.0,13.4,RS0,S0,2005,11,0
230,2005-11-05,990.0,0.0,0.0,0.0,0.0,0.0,8.8,RS1,S0,2005,11,1
231,2005-11-06,1425.0,0.0,0.0,0.0,0.0,0.0,10.3,RS2,S0,2005,11,2
232,2005-11-07,660.0,0.0,0.0,0.0,0.0,0.0,9.4,RS0,S0,2005,11,0
233,2005-11-08,508.0,0.0,0.0,0.0,0.0,0.0,10.7,RS2,S0,2005,11,0
234,2005-11-09,515.0,0.0,0.0,0.0,0.0,0.0,11.2,RS1,S0,2005,11,0
235,2005-11-10,411.0,0.0,0.0,0.0,0.0,0.0,8.5,RS1,S0,2005,11,0
236,2005-11-11,659.0,0.0,0.0,0.0,0.0,0.0,10.7,RS0,S0,2005,11,0
237,2005-11-12,1610.0,0.0,0.0,0.0,0.0,0.0,8.7,RS0,S0,2005,11,1
238,2005-11-13,2587.0,0.0,0.0,0.0,0.0,0.0,7.9,RS0,S0,2005,11,2
239,2005-11-14,649.0,0.0,0.0,0.0,0.0,0.0,4.8,RS1,S0,2005,11,0
240,2005-11-15,461.0,0.0,0.0,0.0,0.0,0.0,6.0,RS0,S0,2005,11,0
241,2005-11-16,529.0,0.0,0.0,0.0,0.0,0.0,3.9,RS0,S0,2005,11,0
242,2005-11-17,384.0,0.0,0.0,0.0,0.0,0.0,3.2,RS0,S0,2005,11,0
243,2005-11-18,567.0,0.0,0.0,0.0,0.0,0.0,1.6,RS1,S0,2005,11,0
244,2005-11-19,908.0,0.0,0.0,0.0,0.0,0.0,0.1,RS1,S0,2005,11,1
245,2005-11-20,1394.0,0.0,0.0,0.0,0.0,0.0,4.8,RS0,S0,2005,11,2
246,2005-11-21,576.0,0.0,0.0,0.0,0.0,0.0,4.1,RS1,S0,2005,11,0
247,2005-11-22,421.0,0.0,0.0,0.0,0.0,0.0,0.2,RS0,S0,2005,11,0
248,2005-11-23,482.0,0.0,0.0,0.0,0.0,0.0,2.6,RS0,S0,2005,11,0
249,2005-11-24,405.0,0.0,0.0,0.0,0.0,0.0,1.9,RS0,S0,2005,11,0
250,2005-11-25,142.0,0.0,0.0,0.0,0.0,0.0,0.4,RS0,S0,2005,11,0
251,2005-11-26,274.0,0.0,0.0,0.0,0.0,0.0,0.0,RS0,S1,2005,11,1
252,2005-11-27,538.0,0.0,0.0,0.0,0.0,0.0,0.6,RS0,S1,2005,11,2
253,2005-11-28,521.0,0.0,0.0,0.0,0.0,0.0,0.3,RS0,S1,2005,11,0
254,2005-11-29,372.0,0.0,0.0,0.0,0.0,0.0,1.6,RS0,S1,2005,11,0
255,2005-11-30,429.0,0.0,0.0,0.0,0.0,0.0,1.8,RS0,S1,2005,11,0
256,2005-12-01,434.0,0.0,0.0,0.0,0.0,0.0,0.9,RS1,S1,2005,12,0
257,2005-12-02,530.0,0.0,0.0,0.0,0.0,0.0,1.7,RS1,S1,2005,12,0
258,2005-12-03,830.0,0.0,0.0,0.0,0.0,0.0,4.4,RS1,S0,2005,12,1
259,2005-12-04,1096.0,0.0,0.0,0.0,0.0,0.0,6.4,RS0,S0,2005,12,2
260,2005-12-05,609.0,0.0,0.0,0.0,0.0,0.0,6.3,RS0,S0,2005,12,0
261,2005-12-06,362.0,0.0,0.0,0.0,0.0,0.0,5.7,RS0,S0,2005,12,0
262,2005-12-07,463.0,0.0,0.0,0.0,0.0,0.0,5.6,RS0,S0,2005,12,0
263,2005-12-08,405.0,0.0,0.0,0.0,0.0,0.0,4.4,RS0,S0,2005,12,0
264,2005-12-09,454.0,0.0,0.0,0.0,0.0,0.0,3.2,RS0,S0,2005,12,0
265,2005-12-10,886.0,0.0,0.0,0.0,0.0,0.0,-1.1,RS0,S0,2005,12,1
266,2005-12-11,1347.0,0.0,0.0,0.0,0.0,0.0,2.4,RS0,S0,2005,12,2
267,2005-12-12,596.0,0.0,0.0,0.0,0.0,0.0,4.7,RS3,S0,2005,12,0
268,2005-12-13,412.0,0.0,0.0,0.0,0.0,0.0,4.4,RS0,S0,2005,12,0
269,2005-12-14,439.0,0.0,0.0,0.0,0.0,0.0,5.6,RS0,S0,2005,12,0
270,2005-12-15,376.0,0.0,0.0,0.0,0.0,0.0,6.1,RS0,S0,2005,12,0
271,2005-12-16,487.0,0.0,0.0,0.0,0.0,0.0,4.3,RS0,S0,2005,12,0
272,2005-12-17,789.0,0.0,0.0,0.0,0.0,0.0,-0.8,RS0,S1,2005,12,1
273,2005-12-18,936.0,0.0,0.0,0.0,0.0,0.0,0.5,RS1,S1,2005,12,2
274,2005-12-19,581.0,0.0,0.0,0.0,0.0,0.0,1.8,RS0,S1,2005,12,0
275,2005-12-20,386.0,0.0,0.0,0.0,0.0,0.0,4.4,RS0,S0,2005,12,0
276,2005-12-21,430.0,0.0,0.0,0.0,0.0,0.0,4.0,RS0,S0,2005,12,0
277,2005-12-22,423.0,0.0,0.0,0.0,0.0,0.0,5.8,RS0,S0,2005,12,0
278,2005-12-23,739.0,0.0,0.0,0.0,1.0,0.0,6.6,RS0,S0,2005,12,0
279,2005-12-24,320.0,0.0,0.0,0.0,3.0,0.0,6.5,RS0,S0,2005,12,1
3115,2005-12-25,,,,,,,3.5,RS1,S0,2005,12,2
